index|chunk|cui|source|code|string
844|<NEW_LINE>- Consciousness: Conscious<NEW_LINE><NEW_LINE>|-|-|-|-
873|Special|C0205555|SNOMEDCT_US|67995009|Special
880| Notes:<NEW_LINE><NEW_LINE>- Informed about |-|-|-|-
906|emergency department|C0562508|SNOMEDCT_US|225728007|Accident and Emergency department
926| overcrowding and potential waiting |-|-|-|-
962|period|C1948053|SNOMEDCT_US|272117007|Time periods
968| for |-|-|-|-
973|assessment|C1261322|SNOMEDCT_US|129265001|Evaluation - action
983| and |-|-|-|-
988|admission|C0184666|SNOMEDCT_US|32485007|Hospital admission
997|.<NEW_LINE><NEW_LINE>Mode of Arrival:<NEW_LINE><NEW_LINE>- No |-|-|-|-
1023|referral note|C2734725|SNOMEDCT_US|721927009|Referral note
1036| |-|-|-|-
1037|available|C0470187|SNOMEDCT_US|103328004|Availability of (contextual qualifier)
1046|.<NEW_LINE>- |-|-|-|-
1050|Reason for|C0392360|SNOMEDCT_US|410666004|Reason for
1060| |-|-|-|-
1061|Admission|C0184666|SNOMEDCT_US|32485007|Hospital admission
1070|: |-|-|-|-
1072|Medical|C0205476|SNOMEDCT_US|74188005|Medical
1079| |-|-|-|-
1080|illness|C0221423|SNOMEDCT_US|39104002|Illness
1087|<NEW_LINE>- |-|-|-|-
1090|High-Risk|C4319571|SNOMEDCT_US|723509005|High risk
1099| |-|-|-|-
1100|Mechanism|C0441712|SNOMEDCT_US|257544000|Mechanisms
1109|: |-|-|-|-
1111|Not applicable|C1272460|SNOMEDCT_US|385432009|Not applicable
1125|<NEW_LINE><NEW_LINE>|-|-|-|-
1127|Triage|C0040861|SNOMEDCT_US|225390008|Triage
1133| |-|-|-|-
1134|Personnel|C0035173|SNOMEDCT_US|769038007|Researcher
1143|:<NEW_LINE><NEW_LINE>- Lin Yi-Shan<NEW_LINE><NEW_LINE>|-|-|-|-
1161|Emergency Department Visit|C0586082|SNOMEDCT_US|4525004|Emergency department patient visit
1187| Record:<NEW_LINE><NEW_LINE>- |-|-|-|-
1199|Chief Complaint|C0586082|<LOST>|<LOST>|Chief complaint
1214|: Blurred |-|-|-|-
1224|vision|C0042789|SNOMEDCT_US|281004000|Visual function
1230| in |-|-|-|-
1234|right eye|C0042789|<LOST>|<LOST>|Right eye structure
1243|<NEW_LINE><NEW_LINE>|-|-|-|-
1245|Past|C1444637|SNOMEDCT_US|410513005|In the past
1249| |-|-|-|-
1250|History|C0262926|SNOMEDCT_US|392521001|History of (contextual qualifier)
1257|:<NEW_LINE><NEW_LINE>- None<NEW_LINE><NEW_LINE>Medication Allergies:<NEW_LINE><NEW_LINE>- None<NEW_LINE><NEW_LINE>|-|-|-|-
1299|Travel|C0040802|SNOMEDCT_US|420008001|Travel
1305| |-|-|-|-
1306|History|C0262926|SNOMEDCT_US|392521001|History of (contextual qualifier)
1313|:<NEW_LINE><NEW_LINE>- None<NEW_LINE><NEW_LINE>|-|-|-|-
1324|Contact|C0332158|SNOMEDCT_US|11723008|Contact with (contextual qualifier)
1331| Information:<NEW_LINE><NEW_LINE>- No |-|-|-|-
1351|special|C0205555|SNOMEDCT_US|67995009|Special
1358| |-|-|-|-
1359|occupation|C0028811|SNOMEDCT_US|14679004|Occupation
1369|, no cluster |-|-|-|-
1382|infection|C0009450|SNOMEDCT_US|40733004|Infectious disease
1391| |-|-|-|-
1392|history|C0262926|SNOMEDCT_US|392521001|History of (contextual qualifier)
1399|, no |-|-|-|-
1404|patient|C0030705|SNOMEDCT_US|116154003|Patient
1411| |-|-|-|-
1412|contact|C0332158|SNOMEDCT_US|11723008|Contact with (contextual qualifier)
1419|, or no |-|-|-|-
1427|animal|C0003062|SNOMEDCT_US|387961004|Kingdom Animalia
1433| |-|-|-|-
1434|contact|C0332158|SNOMEDCT_US|11723008|Contact with (contextual qualifier)
1441|<NEW_LINE><NEW_LINE>|-|-|-|-
1443|Present|C0150312|SNOMEDCT_US|52101004|Present
1450| |-|-|-|-
1451|Illness|C0221423|SNOMEDCT_US|39104002|Illness
1458|:<NEW_LINE><NEW_LINE>- |-|-|-|-
1463|Onset of|C0332162|SNOMEDCT_US|77374008|Onset of (contextual qualifier)
1471| |-|-|-|-
1472|visual field|C0042826|SNOMEDCT_US|73750009|Visual field
1484| dimming |-|-|-|-
1493|overnight|C0439583|SNOMEDCT_US|255270004|Overnight
1502|. |-|-|-|-
1504|Transferred|C0348011|SNOMEDCT_US|129347002|Surgical transfer - action
1515| from Mackay |-|-|-|-
1528|Hospital|C1510665|SNOMEDCT_US|22232009|Hospital
1536| for |-|-|-|-
1541|retinal detachment|C0035305|SNOMEDCT_US|42059000|Retinal detachment
1559| |-|-|-|-
1560|surgery|C0543467|SNOMEDCT_US|257556004|Surgery
1567| |-|-|-|-
1568|evaluation|C1261322|SNOMEDCT_US|129265001|Evaluation - action
1578|.<NEW_LINE><NEW_LINE>|-|-|-|-
1581|Physical Examination|C0031809|SNOMEDCT_US|5880005|Physical examination procedure
1601|:<NEW_LINE><NEW_LINE>- Consciousness: Conscious<NEW_LINE><NEW_LINE>|-|-|-|-
1632|Vital Signs|C0150404|SNOMEDCT_US|61746007|Taking patient vital signs
1643|:<NEW_LINE><NEW_LINE>- |-|-|-|-
1648|Blood Pressure|C0005823|SNOMEDCT_US|75367002|Blood pressure
1662|: |-|-|-|-
1664|Hypotension|C0020649|SNOMEDCT_US|45007003|Low blood pressure
1675|<NEW_LINE>- |-|-|-|-
1678|Heart Rate|C0018810|SNOMEDCT_US|364075005|Heart rate
1688|: |-|-|-|-
1690|Tachycardia|C0039231|SNOMEDCT_US|3424008|Tachycardia
1701|<NEW_LINE>- |-|-|-|-
1704|Respiratory Rate|C0231832|SNOMEDCT_US|86290005|Respiratory rate
1720|: |-|-|-|-
1722|Normal respiratory rate|C0231833|SNOMEDCT_US|20716004|Respiratory rate normal
1745|<NEW_LINE>- |-|-|-|-
1748|Temperature|C0039476|SNOMEDCT_US|246508008|Temperature
1759|: |-|-|-|-
1761|Normal temperature|C0231262|SNOMEDCT_US|87273009|Temperature normal
1779|<NEW_LINE>- |-|-|-|-
1782|Oxygen Saturation|C0428174|SNOMEDCT_US|103228002|Hemoglobin saturation with oxygen
1799|: |-|-|-|-
1801|Normal|C0439166|SNOMEDCT_US|258744000|% normal
1807| |-|-|-|-
1808|saturation|C0428174|SNOMEDCT_US|103228002|Hemoglobin saturation with oxygen
1818|<NEW_LINE><NEW_LINE>Head:<NEW_LINE><NEW_LINE>- |-|-|-|-
1829|Scalp|C0036270|SNOMEDCT_US|41695006|Scalp structure
1834|: No abnormalities<NEW_LINE><NEW_LINE>Eyes:<NEW_LINE><NEW_LINE>- Pupils: |-|-|-|-
1871|Equal|C0205163|SNOMEDCT_US|9726003|Equal
1876| size<NEW_LINE>- |-|-|-|-
1884|Conjunctiva|C0009758|SNOMEDCT_US|29445007|Conjunctival structure
1895|: No |-|-|-|-
1900|anemia|C0002871|SNOMEDCT_US|271737000|Anemia
1906|<NEW_LINE>- |-|-|-|-
1909|Sclera|C0036410|SNOMEDCT_US|18619003|Scleral structure
1915|: No |-|-|-|-
1920|icterus|C0022346|SNOMEDCT_US|18165001|Jaundice
1927|<NEW_LINE><NEW_LINE>|-|-|-|-
1929|Neck|C0027530|SNOMEDCT_US|45048000|Neck structure
1933|:<NEW_LINE><NEW_LINE>- |-|-|-|-
1938|Neck|C0027530|SNOMEDCT_US|45048000|Neck structure
1942|: |-|-|-|-
1944|Supple|C0332254|SNOMEDCT_US|48162006|Supple
1950|<NEW_LINE>- |-|-|-|-
1953|Jugular Veins|C0022427|SNOMEDCT_US|63190004|Structure of jugular vein
1966|: No |-|-|-|-
1971|distension|C0012359|SNOMEDCT_US|25322007|Dilatation
1981|<NEW_LINE>- |-|-|-|-
1984|Lymph Nodes|C0024204|SNOMEDCT_US|59441001|Structure of lymph node
1995|: |-|-|-|-
1997|No lymphadenopathy|C0558762|SNOMEDCT_US|274621000|Lymphadenopathy absent
2015|<NEW_LINE><NEW_LINE>|-|-|-|-
2017|Chest|C0817096|SNOMEDCT_US|51185008|Thoracic structure
2022|:<NEW_LINE><NEW_LINE>- |-|-|-|-
2027|Chest expansion|C0231902|SNOMEDCT_US|6427007|Chest expansion
2042|: Symmetric<NEW_LINE>- |-|-|-|-
2056|Breath Sounds|C0035234|SNOMEDCT_US|52653008|Respiratory sounds
2069|: |-|-|-|-
2071|Clear|C2963144|SNOMEDCT_US|263707001|Clear
2076|<NEW_LINE><NEW_LINE>|-|-|-|-
2078|Heart|C0018787|SNOMEDCT_US|80891009|Heart structure
2083|:<NEW_LINE><NEW_LINE>- |-|-|-|-
2088|Heart Rate|C0018810|SNOMEDCT_US|364075005|Heart rate
2098|: |-|-|-|-
2100|Regular|C0205272|SNOMEDCT_US|17854005|Regular
2107| rhythm, No |-|-|-|-
2119|heart murmurs|C0018808|SNOMEDCT_US|88610006|Heart murmur
2132|<NEW_LINE><NEW_LINE>|-|-|-|-
2134|Abdomen|C0000726|SNOMEDCT_US|818983003|Structure of abdominopelvic cavity and/or content of abdominopelvic cavity and/or anterior abdominal wall
2141|:<NEW_LINE><NEW_LINE>- |-|-|-|-
2146|Abdomen|C0000726|SNOMEDCT_US|818983003|Structure of abdominopelvic cavity and/or content of abdominopelvic cavity and/or anterior abdominal wall
2153|: |-|-|-|-
2155|Soft|C0205358|SNOMEDCT_US|37378003|Soft (qualifier value)
2159|, |-|-|-|-
2161|Non-tender|C0520960|SNOMEDCT_US|300821004|Non-tender
2171|<NEW_LINE>- |-|-|-|-
2174|Bowel Sounds|C0232693|SNOMEDCT_US|87042004|Bowel sounds
2186|: |-|-|-|-
2188|Normal|C0205307|SNOMEDCT_US|17621005|Normal
2194|<NEW_LINE><NEW_LINE>|-|-|-|-
2196|Extremities|C0015385|SNOMEDCT_US|66019005|Limb structure
2207|:<NEW_LINE><NEW_LINE>- |-|-|-|-
2212|Musculoskeletal|C0426779|SNOMEDCT_US|106028002|Musculoskeletal finding
2227|: |-|-|-|-
2229|Normal|C0205307|SNOMEDCT_US|17621005|Normal
2235| findings<NEW_LINE><NEW_LINE>|-|-|-|-
2246|Diagnosis|C0011900|SNOMEDCT_US|439401001|Diagnosis
2255| Information:<NEW_LINE><NEW_LINE>- |-|-|-|-
2272|Admission|C0184666|SNOMEDCT_US|32485007|Hospital admission
2281| |-|-|-|-
2282|Diagnosis|C0011900|SNOMEDCT_US|439401001|Diagnosis
2291|: |-|-|-|-
2293|Retinal detachment|C0035305|SNOMEDCT_US|42059000|Retinal detachment
2311|<NEW_LINE>- |-|-|-|-
2314|Discharge|C0012621|SNOMEDCT_US|75823008|Discharge
2323| |-|-|-|-
2324|Diagnosis|C0011900|SNOMEDCT_US|439401001|Diagnosis
2333|: |-|-|-|-
2335|Retinal detachment|C0035305|SNOMEDCT_US|42059000|Retinal detachment
2353|<NEW_LINE><NEW_LINE>|-|-|-|-
2355|Physician|C0031831|SNOMEDCT_US|309343006|Physician
2364| Orders:<NEW_LINE><NEW_LINE>- |-|-|-|-
2376|Ophthalmology|C0029087|SNOMEDCT_US|394594003|Ophthalmology
2389| |-|-|-|-
2390|Consultation|C0009818|SNOMEDCT_US|11429006|Consultation
2402|: |-|-|-|-
2404|Contact|C0332158|SNOMEDCT_US|11723008|Contact with (contextual qualifier)
2411| Dr. Zhao Li-Fang, |-|-|-|-
2430|Ophthalmology Department|C0587524|SNOMEDCT_US|309988001|Ophthalmology department
2454|<NEW_LINE>- Administer |-|-|-|-
2468|Tropicamide ophthalmic|C3213744|SNOMEDCT_US|771794000|Product containing tropicamide in ocular dose form
2490| |-|-|-|-
2491|solution|C1382100|SNOMEDCT_US|739006009|Solution
2499| in both |-|-|-|-
2508|left|C0205091|SNOMEDCT_US|7771000|Left (qualifier value)
2512| and |-|-|-|-
2517|right|C0205090|SNOMEDCT_US|24028007|Right
2522| eyes, one |-|-|-|-
2533|drop|C0015399|SNOMEDCT_US|385124005|Conventional release eye drops
2537| per each eye<NEW_LINE>- |-|-|-|-
2553|Transfer|C0348011|SNOMEDCT_US|129347002|Surgical transfer - action
2561| to |-|-|-|-
2565|ward|C1305702|SNOMEDCT_US|225746001|Ward (environment)
2569| 12A, no |-|-|-|-
2578|chart|C0684240|SNOMEDCT_US|706825008|Chart
2583| required<NEW_LINE>- Bed allocation for |-|-|-|-
2614|inpatient|C0021562|SNOMEDCT_US|416800000|Inpatient
2623| |-|-|-|-
2624|admission|C0184666|SNOMEDCT_US|32485007|Hospital admission
2633|.|-|-|-|-
2634|Hospitalization|C0019993|SNOMEDCT_US|394656005|Inpatient care
2649| and |-|-|-|-
2654|Medical Record|C0025102|SNOMEDCT_US|129465004|Medical record, device
2668| Identification<NEW_LINE><NEW_LINE>|-|-|-|-
2685|Hospital Admission|C0184666|SNOMEDCT_US|32485007|Hospital admission
2703| Note:<NEW_LINE><NEW_LINE>|-|-|-|-
2711|Patient|C0030705|SNOMEDCT_US|116154003|Patient
2718| Information:<NEW_LINE>- Age: 64 |-|-|-|-
2742|years|C0439508|SNOMEDCT_US|259039008|per year
2747| old<NEW_LINE>- |-|-|-|-
2754|Gender|C0079399|SNOMEDCT_US|263495000|Gender
2760|: |-|-|-|-
2762|Female|C0086287|SNOMEDCT_US|248152002|Female
2768|<NEW_LINE><NEW_LINE>|-|-|-|-
2770|Chief Complaint|C0086287|<LOST>|<LOST>|Chief complaint
2785|:<NEW_LINE>- |-|-|-|-
2789|Shortness of breath|C0013404|SNOMEDCT_US|267036007|Dyspnea
2808|<NEW_LINE>- |-|-|-|-
2811|Chest pain|C0008031|SNOMEDCT_US|29857009|Chest pain
2821|<NEW_LINE><NEW_LINE>|-|-|-|-
2823|History of|C0262926|SNOMEDCT_US|392521001|History of (contextual qualifier)
2833| |-|-|-|-
2834|Present|C0150312|SNOMEDCT_US|52101004|Present
2841| |-|-|-|-
2842|Illness|C0221423|SNOMEDCT_US|39104002|Illness
2849|:<NEW_LINE>The |-|-|-|-
2855|patient|C0030705|SNOMEDCT_US|116154003|Patient
2862| |-|-|-|-
2863|presents|C0150312|SNOMEDCT_US|52101004|Present
2871| with a 3-day |-|-|-|-
2885|history of|C0262926|SNOMEDCT_US|392521001|History of (contextual qualifier)
2895| progressively |-|-|-|-
2910|worsening|C0332271|SNOMEDCT_US|230993007|Worsening
2919| |-|-|-|-
2920|shortness of breath|C0013404|SNOMEDCT_US|267036007|Dyspnea
2939| and progressively |-|-|-|-
2958|worsening|C0332271|SNOMEDCT_US|230993007|Worsening
2967| |-|-|-|-
2968|chest pain|C0008031|SNOMEDCT_US|29857009|Chest pain
2978|. The |-|-|-|-
2984|pain|C0030193|SNOMEDCT_US|22253000|Pain (finding)
2988| is described as a |-|-|-|-
3007|pressure|C0460139|SNOMEDCT_US|13543005|Pressure
3015|-like sensation, primarily |-|-|-|-
3042|located in|C0332285|SNOMEDCT_US|18720000|In (attribute)
3052| the |-|-|-|-
3057|central|C0205099|SNOMEDCT_US|26216008|Central
3064| |-|-|-|-
3065|chest region|C1269614|SNOMEDCT_US|302551006|Entire thorax
3077|. Accompanying symptoms |-|-|-|-
3101|include|C0332257|SNOMEDCT_US|55919000|Including
3108| |-|-|-|-
3109|nausea|C0027497|SNOMEDCT_US|422587007|Nausea
3115| and accompanying symptoms |-|-|-|-
3142|include|C0332257|SNOMEDCT_US|55919000|Including
3149| |-|-|-|-
3150|diaphoresis|C0700590|SNOMEDCT_US|52613005|Excessive sweating
3161|.<NEW_LINE><NEW_LINE>|-|-|-|-
3164|Past Medical History|C2317559|SNOMEDCT_US|417662000|History of clinical finding in subject
3184|:<NEW_LINE>- |-|-|-|-
3188|Hypertension|C0455405|SNOMEDCT_US|160357008|Family history: Hypertension
3200|<NEW_LINE>- |-|-|-|-
3203|Hyperlipidemia|C0020473|SNOMEDCT_US|55822004|Hyperlipidemia
3217|<NEW_LINE>- |-|-|-|-
3220|Type 2 diabetes mellitus|C0011860|SNOMEDCT_US|44054006|Diabetes mellitus type 2
3244|<NEW_LINE><NEW_LINE>|-|-|-|-
3246|Medications:|C5397314|SNOMEDCT_US|513881000000106|Current medication as reported by patient
3258|<NEW_LINE>- |-|-|-|-
3261|Metformin|C0025598|SNOMEDCT_US|372567009|Metformin
3270|<NEW_LINE>- |-|-|-|-
3273|Lisinopril|C0065374|SNOMEDCT_US|386873009|Lisinopril
3283|<NEW_LINE>- |-|-|-|-
3286|Atorvastatin|C0286651|SNOMEDCT_US|373444002|Atorvastatin
3298|<NEW_LINE><NEW_LINE>|-|-|-|-
3300|Physical Examination|C0031809|SNOMEDCT_US|5880005|Physical examination procedure
3320|:<NEW_LINE>- |-|-|-|-
3324|Vital signs|C0150404|SNOMEDCT_US|61746007|Taking patient vital signs
3335|: |-|-|-|-
3337|Blood pressure|C0005823|SNOMEDCT_US|75367002|Blood pressure
3351|: 145/85 mmHg, |-|-|-|-
3366|Heart rate|C0018810|SNOMEDCT_US|364075005|Heart rate
3376|: 98 bpm, |-|-|-|-
3386|Respiratory rate|C0231832|SNOMEDCT_US|86290005|Respiratory rate
3402|: 22 |-|-|-|-
3407|breaths/min|C0439386|SNOMEDCT_US|258984001|Breaths/minute
3418|, |-|-|-|-
3420|Temperature|C0039476|SNOMEDCT_US|246508008|Temperature
3431|: 37.2°C<NEW_LINE>- Cardiovascular: |-|-|-|-
3458|Regular|C0205272|SNOMEDCT_US|17854005|Regular
3465| rhythm, no |-|-|-|-
3477|murmurs|C0018808|SNOMEDCT_US|414786004|Murmur
3484|<NEW_LINE>- |-|-|-|-
3487|Respiratory|C0035237|SNOMEDCT_US|20139000|Structure of respiratory system
3498|: |-|-|-|-
3500|Diminished|C0205216|SNOMEDCT_US|1250004|Decreased
3510| |-|-|-|-
3511|breath sounds|C0035234|SNOMEDCT_US|52653008|Respiratory sounds
3524| at bases<NEW_LINE>- |-|-|-|-
3536|Abdomen|C0000726|SNOMEDCT_US|818983003|Structure of abdominopelvic cavity and/or content of abdominopelvic cavity and/or anterior abdominal wall
3543|: |-|-|-|-
3545|Soft|C0205358|SNOMEDCT_US|37378003|Soft (qualifier value)
3549|, |-|-|-|-
3551|non-tender|C0520960|SNOMEDCT_US|300821004|Non-tender
3561|<NEW_LINE>- |-|-|-|-
3564|Extremities|C0015385|SNOMEDCT_US|66019005|Limb structure
3575|: No |-|-|-|-
3580|edema|C0013604|SNOMEDCT_US|79654002|Edema
3585|<NEW_LINE><NEW_LINE>|-|-|-|-
3587|Laboratory|C0022877|SNOMEDCT_US|261904005|Laboratory
3597| and |-|-|-|-
3602|Imaging|C0011923|SNOMEDCT_US|363679005|Imaging
3609| Studies:<NEW_LINE>- |-|-|-|-
3621|Electrocardiogram|C1623258|SNOMEDCT_US|29303009|Electrocardiographic procedure
3638|: |-|-|-|-
3640|ST elevation|C0520886|SNOMEDCT_US|164931005|ST elevation
3652|<NEW_LINE>- |-|-|-|-
3655|Troponin I|C0077401|SNOMEDCT_US|102683006|Troponin I
3665|: |-|-|-|-
3667|Elevated|C0205250|SNOMEDCT_US|75540009|High (qualifier value)
3675|<NEW_LINE>- |-|-|-|-
3678|Chest|C0817096|SNOMEDCT_US|51185008|Thoracic structure
3683| |-|-|-|-
3684|radiograph|C1306645|SNOMEDCT_US|168537006|Plain radiography
3694|: |-|-|-|-
3696|Cardiomegaly|C0018800|SNOMEDCT_US|8186001|Cardiomegaly
3708|, |-|-|-|-
3710|Pulmonary congestion|C0242073|SNOMEDCT_US|67599009|Pulmonary congestion
3730|<NEW_LINE><NEW_LINE>|-|-|-|-
3732|Assessment|C1261322|SNOMEDCT_US|129265001|Evaluation - action
3742| and Plan:<NEW_LINE>- |-|-|-|-
3755|Acute myocardial infarction|C0155626|SNOMEDCT_US|57054005|Acute myocardial infarction
3782|<NEW_LINE>- Initiate |-|-|-|-
3794|aspirin therapy|C4303556|SNOMEDCT_US|717854002|Aspirin therapy
3809| and initiate |-|-|-|-
3823|clopidogrel|C0070166|SNOMEDCT_US|386952008|Clopidogrel
3834| |-|-|-|-
3835|therapy|C0087111|SNOMEDCT_US|276239002|Therapy
3842|<NEW_LINE>- |-|-|-|-
3845|Administer|C4521681|SNOMEDCT_US|738990001|Administer
3855| |-|-|-|-
3856|nitroglycerin|C0017887|SNOMEDCT_US|387404004|Glyceryl trinitrate
3869| for |-|-|-|-
3874|chest pain|C0008031|SNOMEDCT_US|29857009|Chest pain
3884|<NEW_LINE>- Consult |-|-|-|-
3895|cardiology|C0007189|SNOMEDCT_US|394579002|Cardiology
3905| for further management<NEW_LINE>- |-|-|-|-
3931|Monitor cardiac|C0150496|SNOMEDCT_US|23852006|Cardiac monitoring
3946| |-|-|-|-
3947|enzymes|C0014442|SNOMEDCT_US|90668006|Enzyme
3954| |-|-|-|-
3955|every 6 hours|C0585325|SNOMEDCT_US|307468000|Every six hours
3968|<NEW_LINE><NEW_LINE>|-|-|-|-
3970|Disposition|C0743223|SNOMEDCT_US|726711005|Disposition
3981|:<NEW_LINE>|-|-|-|-
3983|Admit|C0184666|SNOMEDCT_US|32485007|Hospital admission
3988| to the |-|-|-|-
3996|coronary|C0018787|SNOMEDCT_US|80891009|Heart structure
4004| care |-|-|-|-
4010|unit|C1303273|SNOMEDCT_US|401322007|Under care of team
4014| for |-|-|-|-
4019|continuous|C0549178|SNOMEDCT_US|255238004|Continuous
4029| monitoring and for |-|-|-|-
4049|continuous|C0549178|SNOMEDCT_US|255238004|Continuous
4059| further |-|-|-|-
4068|evaluation|C1261322|SNOMEDCT_US|129265001|Evaluation - action
4078|.**|-|-|-|-
4081|Admission|C0184666|SNOMEDCT_US|32485007|Hospital admission
4090| |-|-|-|-
4091|Diagnosis|C0011900|SNOMEDCT_US|439401001|Diagnosis
4100|:**  <NEW_LINE>- |-|-|-|-
4108|Retinal detachment|C0035305|SNOMEDCT_US|42059000|Retinal detachment
4126| of the |-|-|-|-
4134|right eye|C0035305|<LOST>|<LOST>|Right eye structure
